"dte","collectionid","collectionname","marketcupusd"
2021-09-19,1,MutantApeYachtClub,1179682.5747120997
2021-09-19,504,BoredApeYachtClub,1369937.9992
2021-09-20,1,MutantApeYachtClub,954551.2005094121
2021-09-20,504,BoredApeYachtClub,2159065.3562
2021-09-21,1,MutantApeYachtClub,3189340.424980236
2021-09-21,504,BoredApeYachtClub,2340042.693
2021-09-22,1,MutantApeYachtClub,2071671.8549818355
2021-09-22,504,BoredApeYachtClub,1488191.9200000002
2021-09-23,1,MutantApeYachtClub,1808211.9460814123
2021-09-23,504,BoredApeYachtClub,1951398.4800000002
2021-09-24,1,MutantApeYachtClub,1389649.7987499998
2021-09-24,504,BoredApeYachtClub,2930956.014
2021-09-25,1,MutantApeYachtClub,1047748.226673
2021-09-25,504,BoredApeYachtClub,1339634.17
2021-09-26,1,MutantApeYachtClub,1119067.3788210943
2021-09-26,504,BoredApeYachtClub,2932756.5183
2021-09-27,1,MutantApeYachtClub,1336974.50359912
2021-09-27,504,BoredApeYachtClub,2395232.474
2021-09-28,1,MutantApeYachtClub,1363563.8602699998
2021-09-28,504,BoredApeYachtClub,1858306.5799999998
2021-09-29,1,MutantApeYachtClub,1565486.805849967
2021-09-29,504,BoredApeYachtClub,1211681.3800000001
2021-09-30,1,MutantApeYachtClub,2611871.831454699
2021-09-30,504,BoredApeYachtClub,6834589.844
2021-10-01,1,MutantApeYachtClub,1120449.205752
2021-10-01,504,BoredApeYachtClub,3277505.5
2021-10-02,1,MutantApeYachtClub,959579.98294
2021-10-02,504,BoredApeYachtClub,4216879.0987
2021-10-03,1,MutantApeYachtClub,1434866.6752200003
2021-10-03,504,BoredApeYachtClub,2909578.59
2021-10-04,1,MutantApeYachtClub,1466936.7561743225
2021-10-04,504,BoredApeYachtClub,3421748.5408
2021-10-05,1,MutantApeYachtClub,1324550.570517236
2021-10-05,504,BoredApeYachtClub,3118228.0810000002
2021-10-06,1,MutantApeYachtClub,1236750.069608046
2021-10-06,504,BoredApeYachtClub,3168908.871
2021-10-07,1,MutantApeYachtClub,1345115.5882250008
2021-10-07,504,BoredApeYachtClub,1891709.9480000003
2021-10-08,1,MutantApeYachtClub,2574766.769
2021-10-08,504,BoredApeYachtClub,3994836.9960000003
2021-10-09,1,MutantApeYachtClub,2142113.653504646
2021-10-09,504,BoredApeYachtClub,3353605.9014
2021-10-10,1,MutantApeYachtClub,992515.2210226518
2021-10-10,504,BoredApeYachtClub,2346565.3604
2021-10-11,1,MutantApeYachtClub,865548.77912
2021-10-11,504,BoredApeYachtClub,1458805.105
2021-10-12,1,MutantApeYachtClub,976406.6026000006
2021-10-12,504,BoredApeYachtClub,2236544.040182
2021-10-13,1,MutantApeYachtClub,1700944.8055642345
2021-10-13,504,BoredApeYachtClub,2211336.98
2021-10-14,1,MutantApeYachtClub,1188815.00957791
2021-10-14,504,BoredApeYachtClub,4206225.2
2021-10-15,1,MutantApeYachtClub,1414961.9925171225
2021-10-15,504,BoredApeYachtClub,2373520.3200000003
2021-10-16,1,MutantApeYachtClub,971286.1213493185
2021-10-16,504,BoredApeYachtClub,1418494.05
2021-10-17,1,MutantApeYachtClub,910437.9599647566
2021-10-17,504,BoredApeYachtClub,745423.1
2021-10-18,1,MutantApeYachtClub,553761.7571700001
2021-10-18,504,BoredApeYachtClub,1500640.6580000003
2021-10-19,1,MutantApeYachtClub,820665.8893999999
2021-10-19,504,BoredApeYachtClub,2472664.6780000003
2021-10-20,1,MutantApeYachtClub,1209797.9864999996
2021-10-20,504,BoredApeYachtClub,6719324.5304
2021-10-21,1,MutantApeYachtClub,1348980.596851256
2021-10-21,504,BoredApeYachtClub,4123912.78
2021-10-22,1,MutantApeYachtClub,1543427.1612399998
2021-10-22,504,BoredApeYachtClub,3918563.6414000005
2021-10-23,1,MutantApeYachtClub,1318361.6744100002
2021-10-23,504,BoredApeYachtClub,6708389.227
2021-10-24,1,MutantApeYachtClub,772666.789
2021-10-24,504,BoredApeYachtClub,2402964.17
2021-10-25,1,MutantApeYachtClub,775641.2995400003
2021-10-25,504,BoredApeYachtClub,3208993.786
2021-10-26,1,MutantApeYachtClub,917367.1749999999
2021-10-26,504,BoredApeYachtClub,2417851.8974
2021-10-27,1,MutantApeYachtClub,1150949.8035785202
2021-10-27,504,BoredApeYachtClub,3069112.2899999996
2021-10-28,1,MutantApeYachtClub,1857598.3715320004
2021-10-28,504,BoredApeYachtClub,3184308.9910999998
2021-10-29,1,MutantApeYachtClub,1548156.9370257142
2021-10-29,504,BoredApeYachtClub,3716189.2860000003
2021-10-30,1,MutantApeYachtClub,1181604.9458
2021-10-30,504,BoredApeYachtClub,3035305.5300000003
2021-10-31,1,MutantApeYachtClub,1276956.4912999999
2021-10-31,504,BoredApeYachtClub,3369549.173
2021-11-01,1,MutantApeYachtClub,1027508.8755800002
2021-11-01,504,BoredApeYachtClub,1996690.4
2021-11-02,1,MutantApeYachtClub,1085863.1341300001
2021-11-02,504,BoredApeYachtClub,2367449.5794
2021-11-03,1,MutantApeYachtClub,1587446.8503000007
2021-11-03,504,BoredApeYachtClub,3625346.7100000004
2021-11-04,1,MutantApeYachtClub,1549680.6025999996
2021-11-04,504,BoredApeYachtClub,1881019.411
2021-11-05,1,MutantApeYachtClub,1428431.01767
2021-11-05,504,BoredApeYachtClub,2847164.1999999997
2021-11-06,1,MutantApeYachtClub,1614921.5628000004
2021-11-06,504,BoredApeYachtClub,3965870.1062903223
2021-11-07,1,MutantApeYachtClub,2727719.4151000003
2021-11-07,504,BoredApeYachtClub,2710513.87
2021-11-08,1,MutantApeYachtClub,2134617.5357999997
2021-11-08,504,BoredApeYachtClub,4067981.8440000005
2021-11-09,1,MutantApeYachtClub,1918366.6763600004
2021-11-09,504,BoredApeYachtClub,3054897.8700000006
2021-11-10,1,MutantApeYachtClub,1604817.346159612
2021-11-10,504,BoredApeYachtClub,4493430.899
2021-11-11,1,MutantApeYachtClub,2139549.0206999998
2021-11-11,504,BoredApeYachtClub,3883187.914
2021-11-12,1,MutantApeYachtClub,2494394.8666999997
2021-11-12,504,BoredApeYachtClub,9603223.1038
2021-11-13,1,MutantApeYachtClub,17041852.777206063
2021-11-13,504,BoredApeYachtClub,22754640.458900005
2021-11-14,1,MutantApeYachtClub,21648256.03619011
2021-11-14,504,BoredApeYachtClub,16829429.2314
2021-11-15,1,MutantApeYachtClub,10289597.5749727
2021-11-15,504,BoredApeYachtClub,17765560.8145
2021-11-16,1,MutantApeYachtClub,9484067.8081625
2021-11-16,504,BoredApeYachtClub,23492741.1459
2021-11-17,1,MutantApeYachtClub,16093187.962464005
2021-11-17,504,BoredApeYachtClub,14494891.3057
2021-11-18,1,MutantApeYachtClub,6354487.17031
2021-11-18,504,BoredApeYachtClub,12526362.12314
2021-11-19,1,MutantApeYachtClub,4194065.0832999977
2021-11-19,504,BoredApeYachtClub,7954723.38508
2021-11-20,1,MutantApeYachtClub,3439665.1541499984
2021-11-20,504,BoredApeYachtClub,4644082.498081518
2021-11-21,1,MutantApeYachtClub,2367212.8581250003
2021-11-21,504,BoredApeYachtClub,4987679.0158
2021-11-22,1,MutantApeYachtClub,2536622.1981
2021-11-22,504,BoredApeYachtClub,3677110.3963000006
2021-11-23,1,MutantApeYachtClub,1499662.7656000003
2021-11-23,504,BoredApeYachtClub,1525645.6400000001
2021-11-24,1,MutantApeYachtClub,1896115.9026
2021-11-24,504,BoredApeYachtClub,1643497.386
2021-11-25,1,MutantApeYachtClub,1948874.9897999992
2021-11-25,504,BoredApeYachtClub,3133672.0436
2021-11-26,1,MutantApeYachtClub,1503280.412915
2021-11-26,504,BoredApeYachtClub,4098991.4268000005
2021-11-27,1,MutantApeYachtClub,1409718.6150765007
2021-11-27,504,BoredApeYachtClub,2655618.03
2021-11-28,1,MutantApeYachtClub,1804019.1111000006
2021-11-28,504,BoredApeYachtClub,3911238.51
2021-11-29,1,MutantApeYachtClub,2223918.9019199996
2021-11-29,504,BoredApeYachtClub,6298840.780590001
2021-11-30,1,MutantApeYachtClub,1912740.0364078125
2021-11-30,504,BoredApeYachtClub,3534463.0836999975
2021-12-01,1,MutantApeYachtClub,1874967.1890480001
2021-12-01,504,BoredApeYachtClub,3926384.06
2021-12-02,1,MutantApeYachtClub,2161880.345936733
2021-12-02,504,BoredApeYachtClub,4565536.7754999995
2021-12-03,1,MutantApeYachtClub,2565469.74865
2021-12-03,504,BoredApeYachtClub,7787378.470000001
2021-12-04,1,MutantApeYachtClub,2910683.354999999
2021-12-04,504,BoredApeYachtClub,7999091.5940000005
2021-12-05,1,MutantApeYachtClub,2047951.2185999998
2021-12-05,504,BoredApeYachtClub,3543304.338
2021-12-06,1,MutantApeYachtClub,1840003.9487499997
2021-12-06,504,BoredApeYachtClub,3424710.2290999996
2021-12-07,1,MutantApeYachtClub,1986578.6815799999
2021-12-07,504,BoredApeYachtClub,3872973.87
2021-12-08,1,MutantApeYachtClub,1282077.408
2021-12-08,504,BoredApeYachtClub,4558855.862
2021-12-09,1,MutantApeYachtClub,1477667.4681999998
2021-12-09,504,BoredApeYachtClub,5865882.080100043
2021-12-10,1,MutantApeYachtClub,2157525.3481760016
2021-12-10,504,BoredApeYachtClub,5507078.376
2021-12-11,1,MutantApeYachtClub,2024880.9501
2021-12-11,504,BoredApeYachtClub,4119417.1470000003
2021-12-12,1,MutantApeYachtClub,1309452.7206000001
2021-12-12,504,BoredApeYachtClub,3235721.69
2021-12-13,1,MutantApeYachtClub,2282221.167
2021-12-13,504,BoredApeYachtClub,3737100.279
2021-12-14,1,MutantApeYachtClub,1782839.5825999998
2021-12-14,504,BoredApeYachtClub,4482339.416500001
2021-12-15,1,MutantApeYachtClub,1761360.8289333337
2021-12-15,504,BoredApeYachtClub,3663414.092
2021-12-16,1,MutantApeYachtClub,1198559.8022
2021-12-16,504,BoredApeYachtClub,5641231.649999999
